키워드,교습과목,정가
월수 0400 수학클리닉 임,수학 고등,300000
화목 0100 초등실험과학,과학 고등,300000
토0100 영재고파이널과학,과학 고등,300000
일0100 영재-기하 한,수학 고등,300000
일0400 영재-대수 한,수학 고등,300000
토0700 과고3 수학,수학 고등,300000
토0930 과고1 수학,수학 고등,300000
일0100 과학정리,과학 고등,300000
영재학교3차대비,진학지도,300000
영재고파이널과학,과학 중등,250000
과고대비 과학,과학 중등,250000
세종고1수학,수학 고등,300000
고등수학관리,수학 고등,300000
고3문제풀이,수학 고등,300000
영재모의고사,수학 고등,300000
과고2 물리,과학 고등,300000
과고1 물리,과학 고등,300000
과고3 물리,과학 고등,300000
과고2 화학,과학 고등,300000
과고2 수학,수학 고등,300000
과고대비수학,수학 중등,250000
충남외고3,수학 고등,300000
과고 정보,과학 고등,300000
영재-기하,수학 중등,250000
영재-대수,수학 중등,250000
면접대비,진학지도,300000
면담대비,진학지도,300000
방학특강,수학,0
국제고3,수학 고등,300000
초등수학,수학 초등,200000
초등심화,수학 초등,200000
중등수학,수학 중등,250000
고등수학,수학 고등,300000
개념유형,수학 중등,250000
중학과학,과학 중등,250000
중등과학,과학 중등,250000
통합과학,과학 고등,300000
중등내신,수학 중등,250000
고등내신,수학 고등,300000
중3-2,수학 중등,250000
중3-1,수학 중등,250000
중1-1,수학 중등,250000
공통수학,수학 고등,300000
창의수학,수학 고등,300000
탐구수학,수학 고등,300000
블랙라벨,수학 고등,300000
기출문제,수학 고등,300000
M클리닉,수학 고등,300000
자소서,진학지도,300000
식사비,기타경비,0
HMF,수학 고등,300000
HMM,수학 고등,300000
MMF,수학 중등,250000
MMM,수학 중등,250000
EMF,수학 초등,200000
EMM,수학 초등,200000
미적분,수학 고등,300000
KMO,수학 고등,300000
올수지,수학 고등,300000
고쟁이,수학 고등,300000
rpm,수학 고등,300000
정보,과학 고등,300000
HM,수학 고등,300000
공수,수학 고등,300000
확통,수학 고등,300000
기하,수학 고등,300000
수2,수학 고등,300000
대수,수학 고등,300000
정석,수학 고등,300000
정수,수학 고등,300000
수바,수학 고등,300000
물리,과학 고등,300000
화학,과학 고등,300000
생명,과학 고등,300000
지구,과학 고등,300000
천체,과학 고등,300000
역학,과학 고등,300000
유전,과학 고등,300000
쎈,수학 고등,300000
